id,company_id:id,pwd,value_type,value_text,description,active,clave
config_version_invalidacion,base.main_company,,int,2,Versión vigente para el evento de invalidación,True,version_invalidacion
config_iva_divisor,base.main_company,,int,1.13,Factor para dividir y obtener base sin IVA,True,iva_divisor
config_iva,base.main_company,,float,0.13,Porcentaje de IVA expresado en decimal,True,valor_iva
config_content_type,base.main_company,,text,application/json,Tipo de contenido,True,content_type
config_url_firma,base.main_company,,text,http://192.168.2.49:8113/firmardocumento/,URL del firmador,True,url_firma
config_url_test_hacienda,base.main_company,,text,https://apitest.dtes.mh.gob.sv/fesv/recepciondte,Acceso a entorno de pruebas de Hacienda,True,url_test_hacienda
config_url_prod_hacienda,base.main_company,,text,https://api.dtes.mh.gob.sv/fesv/recepciondte,Acceso a entorno de producción de Hacienda,True,url_prod_hacienda
config_user_agent,base.main_company,,text,Odoo,User-Agent,True,user_agent
config_ambiente,base.main_company,,text,01,Ambiente seleccionado para la validación y envío del documento electrónico,True,ambiente
config_mnt,base.main_company,,text,C:/Users/Admin/Documents/GitHub/fe/location/mnt,Carpeta mnt,True,mnt
config_cuenta_cont_salarial,base.main_company,,text,230100,Cuenta contable para el Impuestos de nómina del empleado,True,cuenta_salarial_deducciones
config_cuenta_cont_salarial_debito,base.main_company,,text,630000,Cuenta contable de débito: Gastos de sueldo,True,cuenta_salarial_debito
config_cuenta_cont_empleador_credito,base.main_company,,text,230200,Cuenta contable de crédito: Aporte del empleador,True,cuenta_empleador_credito
config_porcentaje_he,base.main_company,,int,50,Recargo por horas extra en día de descanso,True,porcentaje_horas_extras
config_autenticacion_prod,base.main_company,,text,https://api.dtes.mh.gob.sv/seguridad/auth,URL para autenticación en producción,True,autenticar_prod
config_autenticacion_test,base.main_company,,text,https://apitest.dtes.mh.gob.sv/seguridad/auth,URL para autenticación en pruebas,True,autenticar_test
config_consulta_dte,base.main_company,,text,https://admin.factura.gob.sv,URL para consultar dte,True,consulta_dte
